r(m), B_r(T), B_theta(T), B_z(T) 
0.44500, -242.63481, -134.14906, 206.99077 
0.44750, -259.43052, -143.24499, 222.06419 
0.45000, -277.28894, -152.83453, 238.17127 
0.45250, -296.27044, -162.93918, 255.37370 
0.45500, -316.43846, -173.58123, 273.73643 
0.45750, -337.85961, -184.78375, 293.32777 
0.46000, -360.60386, -196.57061, 314.21958 
0.46250, -384.74467, -208.96649, 336.48743 
0.46500, -410.35914, -221.99690, 360.21076 
0.46750, -437.52817, -235.68821, 385.47305 
0.47000, -466.33664, -250.06765, 412.36203 
0.47250, -496.87356, -265.16333, 440.96985 
0.47500, -529.23228, -281.00426, 471.39328 
0.47750, -563.51063, -297.62034, 503.73390 
0.48000, -599.81116, -315.04241, 538.09837 
0.48250, -638.24130, -333.30224, 574.59856 
0.48500, -678.91361, -352.43254, 613.35187 
0.48750, -721.94593, -372.46699, 654.48141 
0.49000, -767.46167, -393.44023, 698.11627 
0.49250, -815.59001, -415.38788, 744.39176 
0.49500, -866.46613, -438.34652, 793.44970 
0.49750, -920.23146, -462.35375, 845.43867 
0.50000, -977.03396, -487.44816, 900.51431 
0.50250, -1037.02835, -513.66931, 958.83961 
0.50500, -1100.37642, -541.05781, 1020.58520 
0.50750, -1167.24727, -569.65523, 1085.92970 
0.51000, -1237.81764, -599.50415, 1155.06002 
0.51250, -1312.27222, -630.64815, 1228.17171 
0.51500, -1390.80391, -663.13182, 1305.46930 
0.51750, -1473.61422, -697.00070, 1387.16667 
0.52000, -1560.91354, -732.30133, 1473.48744 
0.52250, -1652.92152, -769.08121, 1564.66532 
0.52500, -1749.86746, -807.38877, 1660.94454 
0.52750, -1851.99059, -847.27341, 1762.58027 
0.53000, -1959.54056, -888.78541, 1869.83902 
0.53250, -2072.77777, -931.97596, 1982.99911 
0.53500, -2191.97379, -976.89710, 2102.35110 
0.53750, -2317.41182, -1023.60171, 2228.19828 
0.54000, -2449.38708, -1072.14350, 2360.85717 
0.54250, -2588.20727, -1122.57690, 2500.65798 
0.54500, -2734.19310, -1174.95711, 2647.94519 
0.54750, -2887.67866, -1229.34000, 2803.07802 
0.55000, -3049.01202, -1285.78208, 2966.43103 
0.55250, -3218.55570, -1344.34043, 3138.39469 
0.55500, -3396.68718, -1405.07269, 3319.37593 
0.55750, -3583.79950, -1468.03694, 3509.79878 
0.56000, -3780.30177, -1533.29168, 3710.10501 
0.56250, -3986.61978, -1600.89572, 3920.75472 
0.56500, -4203.19662, -1670.90815, 4142.22707 
0.56750, -4430.49325, -1743.38821, 4375.02092 
0.57000, -4668.98917, -1818.39524, 4619.65554 
0.57250, -4919.18309, -1895.98855, 4876.67138 
0.57500, -5181.59355, -1976.22735, 5146.63077 
0.57750, -5456.75971, -2059.17063, 5430.11872 
0.58000, -5745.24199, -2144.87703, 5727.74370 
0.58250, -6047.62285, -2233.40477, 6040.13847 
0.58500, -6364.50755, -2324.81145, 6367.96094 
0.58750, -6696.52495, -2419.15396, 6711.89499 
0.59000, -7044.32829, -2516.48831, 7072.65141 
0.59250, -7408.59605, -2616.86952, 7450.96880 
