r(m), E_r(T), E_theta(T), E_z(T) 
4.07500e-01, 4.98771e+09, -5.28040e+09, 2.22463e-14 
4.10000e-01, 4.98214e+09, -5.27836e+09, 2.23747e-14 
4.12500e-01, 4.97654e+09, -5.27631e+09, 2.25029e-14 
4.15000e-01, 4.97090e+09, -5.27424e+09, 2.26309e-14 
4.17500e-01, 4.96524e+09, -5.27217e+09, 2.27588e-14 
4.20000e-01, 4.95954e+09, -5.27008e+09, 2.28866e-14 
4.22500e-01, 4.95381e+09, -5.26798e+09, 2.30142e-14 
4.25000e-01, 4.94805e+09, -5.26587e+09, 2.31417e-14 
4.27500e-01, 4.94226e+09, -5.26375e+09, 2.32690e-14 
4.30000e-01, 4.93644e+09, -5.26162e+09, 2.33961e-14 
4.32500e-01, 4.93058e+09, -5.25947e+09, 2.35231e-14 
4.35000e-01, 4.92470e+09, -5.25731e+09, 2.36499e-14 
4.37500e-01, 4.91878e+09, -5.25514e+09, 2.37766e-14 
4.40000e-01, 4.91283e+09, -5.25296e+09, 2.39032e-14 
4.42500e-01, 4.90685e+09, -5.25077e+09, 2.40295e-14 
4.45000e-01, 4.90084e+09, -5.24856e+09, 2.41558e-14 
4.47500e-01, 4.89480e+09, -5.24635e+09, 2.42818e-14 
4.50000e-01, 4.88872e+09, -5.24412e+09, 2.44077e-14 
4.52500e-01, 4.88262e+09, -5.24188e+09, 2.45335e-14 
4.55000e-01, 4.87648e+09, -5.23962e+09, 2.46590e-14 
4.57500e-01, 4.87032e+09, -5.23736e+09, 2.47844e-14 
4.60000e-01, 4.86412e+09, -5.23508e+09, 2.49097e-14 
4.62500e-01, 4.85789e+09, -5.23280e+09, 2.50348e-14 
4.65000e-01, 4.85163e+09, -5.23050e+09, 2.51597e-14 
4.67500e-01, 4.84534e+09, -5.22819e+09, 2.52845e-14 
4.70000e-01, 4.83902e+09, -5.22586e+09, 2.54091e-14 
4.72500e-01, 4.83266e+09, -5.22353e+09, 2.55335e-14 
4.75000e-01, 4.82628e+09, -5.22118e+09, 2.56577e-14 
4.77500e-01, 4.81987e+09, -5.21882e+09, 2.57818e-14 
4.80000e-01, 4.81342e+09, -5.21645e+09, 2.59057e-14 
4.82500e-01, 4.80695e+09, -5.21407e+09, 2.60295e-14 
4.85000e-01, 4.80044e+09, -5.21168e+09, 2.61531e-14 
4.87500e-01, 4.79391e+09, -5.20928e+09, 2.62765e-14 
4.90000e-01, 4.78734e+09, -5.20686e+09, 2.63997e-14 
4.92500e-01, 4.78075e+09, -5.20443e+09, 2.65228e-14 
4.95000e-01, 4.77412e+09, -5.20199e+09, 2.66457e-14 
4.97500e-01, 4.76746e+09, -5.19954e+09, 2.67684e-14 
5.00000e-01, 4.76077e+09, -5.19708e+09, 2.68909e-14 
5.02500e-01, 4.75406e+09, -5.19460e+09, 2.70133e-14 
5.05000e-01, 4.74731e+09, -5.19212e+09, 2.71354e-14 
5.07500e-01, 4.74053e+09, -5.18962e+09, 2.72574e-14 
5.10000e-01, 4.73372e+09, -5.18711e+09, 2.73793e-14 
5.12500e-01, 4.72689e+09, -5.18459e+09, 2.75009e-14 
5.15000e-01, 4.72002e+09, -5.18206e+09, 2.76224e-14 
5.17500e-01, 4.71312e+09, -5.17952e+09, 2.77437e-14 
5.20000e-01, 4.70619e+09, -5.17696e+09, 2.78648e-14 
5.22500e-01, 4.69923e+09, -5.17440e+09, 2.79857e-14 
5.25000e-01, 4.69225e+09, -5.17182e+09, 2.81064e-14 
5.27500e-01, 4.68523e+09, -5.16923e+09, 2.82270e-14 
5.30000e-01, 4.67818e+09, -5.16663e+09, 2.83473e-14 
5.32500e-01, 4.67111e+09, -5.16402e+09, 2.84675e-14 
5.35000e-01, 4.66400e+09, -5.16139e+09, 2.85875e-14 
5.37500e-01, 4.65687e+09, -5.15876e+09, 2.87073e-14 
5.40000e-01, 4.64970e+09, -5.15611e+09, 2.88269e-14 
5.42500e-01, 4.64251e+09, -5.15345e+09, 2.89463e-14 
5.45000e-01, 4.63529e+09, -5.15079e+09, 2.90656e-14 
5.47500e-01, 4.62803e+09, -5.14810e+09, 2.91846e-14 
5.50000e-01, 4.62075e+09, -5.14541e+09, 2.93035e-14 
