r(m), E_r(T), E_theta(T), E_z(T) 
3.22500e-01, -2.57015e+09, 2.08181e+09, -5.63330e-12 
3.25000e-01, -2.15376e+09, 2.07944e+09, -5.68304e-12 
3.27500e-01, -1.73723e+09, 2.07386e+09, -5.72393e-12 
3.30000e-01, -1.32113e+09, 2.06514e+09, -5.75596e-12 
3.32500e-01, -9.06044e+08, 2.05337e+09, -5.77916e-12 
3.35000e-01, -4.92532e+08, 2.03864e+09, -5.79355e-12 
3.37500e-01, -8.11587e+07, 2.02103e+09, -5.79917e-12 
3.40000e-01, 3.27516e+08, 2.00063e+09, -5.79607e-12 
3.42500e-01, 7.32939e+08, 1.97752e+09, -5.78433e-12 
3.45000e-01, 1.13457e+09, 1.95180e+09, -5.76401e-12 
3.47500e-01, 1.53186e+09, 1.92357e+09, -5.73520e-12 
3.50000e-01, 1.92428e+09, 1.89291e+09, -5.69800e-12 
3.52500e-01, 2.31131e+09, 1.85993e+09, -5.65252e-12 
3.55000e-01, 2.69245e+09, 1.82471e+09, -5.59888e-12 
3.57500e-01, 3.06718e+09, 1.78735e+09, -5.53721e-12 
3.60000e-01, 3.43501e+09, 1.74796e+09, -5.46765e-12 
3.62500e-01, 3.79547e+09, 1.70662e+09, -5.39036e-12 
3.65000e-01, 4.14809e+09, 1.66345e+09, -5.30549e-12 
3.67500e-01, 4.49241e+09, 1.61853e+09, -5.21323e-12 
3.70000e-01, 4.82799e+09, 1.57197e+09, -5.11375e-12 
3.72500e-01, 5.15441e+09, 1.52387e+09, -5.00723e-12 
3.75000e-01, 5.47125e+09, 1.47433e+09, -4.89389e-12 
3.77500e-01, 5.77812e+09, 1.42344e+09, -4.77393e-12 
3.80000e-01, 6.07463e+09, 1.37132e+09, -4.64757e-12 
3.82500e-01, 6.36041e+09, 1.31805e+09, -4.51502e-12 
3.85000e-01, 6.63512e+09, 1.26373e+09, -4.37653e-12 
3.87500e-01, 6.89842e+09, 1.20847e+09, -4.23233e-12 
3.90000e-01, 7.15001e+09, 1.15237e+09, -4.08267e-12 
3.92500e-01, 7.38957e+09, 1.09551e+09, -3.92780e-12 
3.95000e-01, 7.61684e+09, 1.03800e+09, -3.76798e-12 
3.97500e-01, 7.83155e+09, 9.79941e+08, -3.60347e-12 
4.00000e-01, 8.03346e+09, 9.21417e+08, -3.43455e-12 
4.02500e-01, 8.22234e+09, 8.62525e+08, -3.26149e-12 
4.05000e-01, 8.39800e+09, 8.03358e+08, -3.08456e-12 
4.07500e-01, 8.56025e+09, 7.44007e+08, -2.90405e-12 
4.10000e-01, 8.70893e+09, 6.84564e+08, -2.72025e-12 
4.12500e-01, 8.84389e+09, 6.25116e+08, -2.53345e-12 
4.15000e-01, 8.96500e+09, 5.65751e+08, -2.34394e-12 
4.17500e-01, 9.07217e+09, 5.06555e+08, -2.15202e-12 
4.20000e-01, 9.16531e+09, 4.47610e+08, -1.95798e-12 
4.22500e-01, 9.24435e+09, 3.89000e+08, -1.76212e-12 
4.25000e-01, 9.30926e+09, 3.30804e+08, -1.56475e-12 
4.27500e-01, 9.36001e+09, 2.73102e+08, -1.36616e-12 
4.30000e-01, 9.39659e+09, 2.15969e+08, -1.16665e-12 
4.32500e-01, 9.41904e+09, 1.59480e+08, -9.66535e-13 
4.35000e-01, 9.42737e+09, 1.03707e+08, -7.66102e-13 
4.37500e-01, 9.42166e+09, 4.87209e+07, -5.65654e-13 
4.40000e-01, 9.40198e+09, -5.41114e+06, -3.65489e-13 
4.42500e-01, 9.36842e+09, -5.86233e+07, -1.65902e-13 
4.45000e-01, 9.32111e+09, -1.10852e+08, 3.28121e-14 
4.47500e-01, 9.26018e+09, -1.62037e+08, 2.30363e-13 
4.50000e-01, 9.18579e+09, -2.12119e+08, 4.26463e-13 
4.52500e-01, 9.09810e+09, -2.61041e+08, 6.20828e-13 
4.55000e-01, 8.99732e+09, -3.08752e+08, 8.13178e-13 
4.57500e-01, 8.88365e+09, -3.55199e+08, 1.00324e-12 
4.60000e-01, 8.75732e+09, -4.00333e+08, 1.19073e-12 
4.62500e-01, 8.61858e+09, -4.44110e+08, 1.37540e-12 
4.65000e-01, 8.46769e+09, -4.86484e+08, 1.55697e-12 
4.67500e-01, 8.30492e+09, -5.27417e+08, 1.73521e-12 
4.70000e-01, 8.13058e+09, -5.66869e+08, 1.90984e-12 
4.72500e-01, 7.94497e+09, -6.04806e+08, 2.08064e-12 
4.75000e-01, 7.74842e+09, -6.41193e+08, 2.24737e-12 
4.77500e-01, 7.54127e+09, -6.76002e+08, 2.40980e-12 
4.80000e-01, 7.32387e+09, -7.09205e+08, 2.56770e-12 
4.82500e-01, 7.09659e+09, -7.40776e+08, 2.72087e-12 
4.85000e-01, 6.85981e+09, -7.70695e+08, 2.86910e-12 
4.87500e-01, 6.61393e+09, -7.98940e+08, 3.01219e-12 
4.90000e-01, 6.35934e+09, -8.25496e+08, 3.14995e-12 
4.92500e-01, 6.09646e+09, -8.50348e+08, 3.28220e-12 
4.95000e-01, 5.82572e+09, -8.73485e+08, 3.40877e-12 
4.97500e-01, 5.54756e+09, -8.94898e+08, 3.52950e-12 
5.00000e-01, 5.26241e+09, -9.14580e+08, 3.64423e-12 
5.02500e-01, 4.97073e+09, -9.32527e+08, 3.75283e-12 
5.05000e-01, 4.67299e+09, -9.48738e+08, 3.85515e-12 
5.07500e-01, 4.36964e+09, -9.63214e+08, 3.95108e-12 
5.10000e-01, 4.06117e+09, -9.75960e+08, 4.04050e-12 
5.12500e-01, 3.74804e+09, -9.86979e+08, 4.12331e-12 
5.15000e-01, 3.43076e+09, -9.96283e+08, 4.19941e-12 
5.17500e-01, 3.10980e+09, -1.00388e+09, 4.26872e-12 
5.20000e-01, 2.78565e+09, -1.00978e+09, 4.33117e-12 
5.22500e-01, 2.45882e+09, -1.01401e+09, 4.38670e-12 
5.25000e-01, 2.12980e+09, -1.01658e+09, 4.43526e-12 
5.27500e-01, 1.79909e+09, -1.01750e+09, 4.47679e-12 
5.30000e-01, 1.46718e+09, -1.01681e+09, 4.51129e-12 
5.32500e-01, 1.13457e+09, -1.01452e+09, 4.53871e-12 
5.35000e-01, 8.01769e+08, -1.01066e+09, 4.55906e-12 
5.37500e-01, 4.69263e+08, -1.00526e+09, 4.57234e-12 
5.40000e-01, 1.37549e+08, -9.98345e+08, 4.57856e-12 
5.42500e-01, -1.92883e+08, -9.89951e+08, 4.57773e-12 
5.45000e-01, -5.21547e+08, -9.80108e+08, 4.56991e-12 
5.47500e-01, -8.47960e+08, -9.68852e+08, 4.55511e-12 
5.50000e-01, -1.17164e+09, -9.56218e+08, 4.53341e-12 
5.52500e-01, -1.49213e+09, -9.42245e+08, 4.50486e-12 
5.55000e-01, -1.80895e+09, -9.26971e+08, 4.46954e-12 
5.57500e-01, -2.12165e+09, -9.10438e+08, 4.42753e-12 
5.60000e-01, -2.42978e+09, -8.92686e+08, 4.37892e-12 
5.62500e-01, -2.73289e+09, -8.73760e+08, 4.32381e-12 
5.65000e-01, -3.03056e+09, -8.53703e+08, 4.26232e-12 
5.67500e-01, -3.32236e+09, -8.32561e+08, 4.19457e-12 
5.70000e-01, -3.60789e+09, -8.10379e+08, 4.12068e-12 
5.72500e-01, -3.88672e+09, -7.87207e+08, 4.04080e-12 
5.75000e-01, -4.15849e+09, -7.63090e+08, 3.95507e-12 
5.77500e-01, -4.42281e+09, -7.38079e+08, 3.86364e-12 
5.80000e-01, -4.67931e+09, -7.12223e+08, 3.76668e-12 
5.82500e-01, -4.92764e+09, -6.85572e+08, 3.66436e-12 
5.85000e-01, -5.16746e+09, -6.58177e+08, 3.55686e-12 
5.87500e-01, -5.39845e+09, -6.30089e+08, 3.44436e-12 
5.90000e-01, -5.62029e+09, -6.01360e+08, 3.32704e-12 
5.92500e-01, -5.83269e+09, -5.72041e+08, 3.20512e-12 
5.95000e-01, -6.03537e+09, -5.42185e+08, 3.07879e-12 
5.97500e-01, -6.22805e+09, -5.11844e+08, 2.94826e-12 
6.00000e-01, -6.41050e+09, -4.81070e+08, 2.81375e-12 
6.02500e-01, -6.58247e+09, -4.49916e+08, 2.67548e-12 
6.05000e-01, -6.74375e+09, -4.18434e+08, 2.53368e-12 
6.07500e-01, -6.89413e+09, -3.86676e+08, 2.38856e-12 
6.10000e-01, -7.03344e+09, -3.54694e+08, 2.24038e-12 
6.12500e-01, -7.16150e+09, -3.22539e+08, 2.08936e-12 
6.15000e-01, -7.27817e+09, -2.90263e+08, 1.93574e-12 
6.17500e-01, -7.38331e+09, -2.57917e+08, 1.77977e-12 
6.20000e-01, -7.47681e+09, -2.25551e+08, 1.62170e-12 
6.22500e-01, -7.55858e+09, -1.93215e+08, 1.46177e-12 
6.25000e-01, -7.62852e+09, -1.60958e+08, 1.30024e-12 
6.27500e-01, -7.68659e+09, -1.28829e+08, 1.13735e-12 
6.30000e-01, -7.73274e+09, -9.68746e+07, 9.73364e-13 
6.32500e-01, -7.76694e+09, -6.51425e+07, 8.08529e-13 
6.35000e-01, -7.78919e+09, -3.36785e+07, 6.43101e-13 
6.37500e-01, -7.79950e+09, -2.52784e+06, 4.77335e-13 
6.40000e-01, -7.79789e+09, 2.82654e+07, 3.11483e-13 
6.42500e-01, -7.78442e+09, 5.86581e+07, 1.45799e-13 
6.45000e-01, -7.75914e+09, 8.86082e+07, -1.94658e-14 
6.47500e-01, -7.72213e+09, 1.18075e+08, -1.84061e-13 
6.50000e-01, -7.67351e+09, 1.47018e+08, -3.47740e-13 
6.52500e-01, -7.61337e+09, 1.75400e+08, -5.10255e-13 
6.55000e-01, -7.54186e+09, 2.03183e+08, -6.71363e-13 
6.57500e-01, -7.45912e+09, 2.30331e+08, -8.30825e-13 
6.60000e-01, -7.36532e+09, 2.56810e+08, -9.88403e-13 
6.62500e-01, -7.26063e+09, 2.82587e+08, -1.14386e-12 
6.65000e-01, -7.14526e+09, 3.07629e+08, -1.29698e-12 
6.67500e-01, -7.01942e+09, 3.31906e+08, -1.44752e-12 
6.70000e-01, -6.88334e+09, 3.55390e+08, -1.59528e-12 
6.72500e-01, -6.73725e+09, 3.78053e+08, -1.74003e-12 
6.75000e-01, -6.58141e+09, 3.99869e+08, -1.88156e-12 
6.77500e-01, -6.41610e+09, 4.20815e+08, -2.01967e-12 
6.80000e-01, -6.24159e+09, 4.40866e+08, -2.15416e-12 
6.82500e-01, -6.05819e+09, 4.60003e+08, -2.28485e-12 
6.85000e-01, -5.86620e+09, 4.78206e+08, -2.41154e-12 
6.87500e-01, -5.66593e+09, 4.95456e+08, -2.53405e-12 
6.90000e-01, -5.45773e+09, 5.11737e+08, -2.65221e-12 
6.92500e-01, -5.24194e+09, 5.27035e+08, -2.76586e-12 
6.95000e-01, -5.01890e+09, 5.41337e+08, -2.87485e-12 
6.97500e-01, -4.78898e+09, 5.54631e+08, -2.97901e-12 
7.00000e-01, -4.55256e+09, 5.66907e+08, -3.07821e-12 
7.02500e-01, -4.31000e+09, 5.78157e+08, -3.17232e-12 
