r(m), E_r(T), E_theta(T), E_z(T) 
4.15000e-01, 1.78720e+09, -1.86100e+09, 1.59506e-14 
4.17500e-01, 1.78568e+09, -1.86036e+09, 1.60420e-14 
4.20000e-01, 1.78416e+09, -1.85972e+09, 1.61334e-14 
4.22500e-01, 1.78263e+09, -1.85908e+09, 1.62246e-14 
4.25000e-01, 1.78108e+09, -1.85843e+09, 1.63158e-14 
4.27500e-01, 1.77953e+09, -1.85778e+09, 1.64069e-14 
4.30000e-01, 1.77798e+09, -1.85712e+09, 1.64979e-14 
4.32500e-01, 1.77641e+09, -1.85646e+09, 1.65888e-14 
4.35000e-01, 1.77484e+09, -1.85580e+09, 1.66797e-14 
4.37500e-01, 1.77325e+09, -1.85513e+09, 1.67704e-14 
4.40000e-01, 1.77166e+09, -1.85446e+09, 1.68611e-14 
4.42500e-01, 1.77006e+09, -1.85379e+09, 1.69517e-14 
4.45000e-01, 1.76845e+09, -1.85311e+09, 1.70422e-14 
4.47500e-01, 1.76683e+09, -1.85243e+09, 1.71326e-14 
4.50000e-01, 1.76521e+09, -1.85174e+09, 1.72229e-14 
4.52500e-01, 1.76357e+09, -1.85105e+09, 1.73131e-14 
4.55000e-01, 1.76193e+09, -1.85036e+09, 1.74032e-14 
4.57500e-01, 1.76028e+09, -1.84966e+09, 1.74933e-14 
4.60000e-01, 1.75862e+09, -1.84896e+09, 1.75832e-14 
4.62500e-01, 1.75695e+09, -1.84826e+09, 1.76731e-14 
4.65000e-01, 1.75527e+09, -1.84755e+09, 1.77629e-14 
4.67500e-01, 1.75358e+09, -1.84684e+09, 1.78526e-14 
4.70000e-01, 1.75189e+09, -1.84613e+09, 1.79421e-14 
4.72500e-01, 1.75019e+09, -1.84541e+09, 1.80316e-14 
4.75000e-01, 1.74848e+09, -1.84469e+09, 1.81210e-14 
4.77500e-01, 1.74676e+09, -1.84396e+09, 1.82103e-14 
4.80000e-01, 1.74503e+09, -1.84323e+09, 1.82996e-14 
4.82500e-01, 1.74329e+09, -1.84250e+09, 1.83887e-14 
4.85000e-01, 1.74155e+09, -1.84177e+09, 1.84777e-14 
4.87500e-01, 1.73980e+09, -1.84103e+09, 1.85666e-14 
4.90000e-01, 1.73804e+09, -1.84028e+09, 1.86555e-14 
4.92500e-01, 1.73627e+09, -1.83954e+09, 1.87442e-14 
4.95000e-01, 1.73449e+09, -1.83879e+09, 1.88329e-14 
4.97500e-01, 1.73270e+09, -1.83803e+09, 1.89214e-14 
5.00000e-01, 1.73091e+09, -1.83727e+09, 1.90098e-14 
5.02500e-01, 1.72911e+09, -1.83651e+09, 1.90982e-14 
5.05000e-01, 1.72729e+09, -1.83575e+09, 1.91864e-14 
5.07500e-01, 1.72548e+09, -1.83498e+09, 1.92746e-14 
5.10000e-01, 1.72365e+09, -1.83421e+09, 1.93626e-14 
5.12500e-01, 1.72181e+09, -1.83343e+09, 1.94506e-14 
5.15000e-01, 1.71997e+09, -1.83265e+09, 1.95384e-14 
5.17500e-01, 1.71812e+09, -1.83187e+09, 1.96262e-14 
5.20000e-01, 1.71626e+09, -1.83108e+09, 1.97138e-14 
5.22500e-01, 1.71439e+09, -1.83029e+09, 1.98014e-14 
5.25000e-01, 1.71251e+09, -1.82950e+09, 1.98888e-14 
5.27500e-01, 1.71062e+09, -1.82870e+09, 1.99762e-14 
5.30000e-01, 1.70873e+09, -1.82790e+09, 2.00634e-14 
5.32500e-01, 1.70683e+09, -1.82710e+09, 2.01505e-14 
5.35000e-01, 1.70492e+09, -1.82629e+09, 2.02376e-14 
5.37500e-01, 1.70300e+09, -1.82548e+09, 2.03245e-14 
5.40000e-01, 1.70108e+09, -1.82466e+09, 2.04113e-14 
5.42500e-01, 1.69914e+09, -1.82384e+09, 2.04980e-14 
5.45000e-01, 1.69720e+09, -1.82302e+09, 2.05846e-14 
5.47500e-01, 1.69525e+09, -1.82220e+09, 2.06711e-14 
5.50000e-01, 1.69329e+09, -1.82137e+09, 2.07575e-14 
5.52500e-01, 1.69133e+09, -1.82054e+09, 2.08438e-14 
5.55000e-01, 1.68935e+09, -1.81970e+09, 2.09300e-14 
5.57500e-01, 1.68737e+09, -1.81886e+09, 2.10161e-14 
5.60000e-01, 1.68538e+09, -1.81802e+09, 2.11020e-14 
5.62500e-01, 1.68338e+09, -1.81717e+09, 2.11879e-14 
5.65000e-01, 1.68137e+09, -1.81632e+09, 2.12736e-14 
5.67500e-01, 1.67936e+09, -1.81547e+09, 2.13593e-14 
5.70000e-01, 1.67733e+09, -1.81461e+09, 2.14448e-14 
5.72500e-01, 1.67530e+09, -1.81375e+09, 2.15302e-14 
5.75000e-01, 1.67326e+09, -1.81288e+09, 2.16155e-14 
5.77500e-01, 1.67122e+09, -1.81202e+09, 2.17007e-14 
5.80000e-01, 1.66916e+09, -1.81115e+09, 2.17858e-14 
5.82500e-01, 1.66710e+09, -1.81027e+09, 2.18707e-14 
5.85000e-01, 1.66503e+09, -1.80939e+09, 2.19556e-14 
5.87500e-01, 1.66295e+09, -1.80851e+09, 2.20403e-14 
5.90000e-01, 1.66087e+09, -1.80763e+09, 2.21250e-14 
5.92500e-01, 1.65877e+09, -1.80674e+09, 2.22095e-14 
5.95000e-01, 1.65667e+09, -1.80584e+09, 2.22939e-14 
5.97500e-01, 1.65456e+09, -1.80495e+09, 2.23782e-14 
6.00000e-01, 1.65244e+09, -1.80405e+09, 2.24623e-14 
6.02500e-01, 1.65031e+09, -1.80315e+09, 2.25464e-14 
6.05000e-01, 1.64818e+09, -1.80224e+09, 2.26303e-14 
6.07500e-01, 1.64604e+09, -1.80133e+09, 2.27141e-14 
6.10000e-01, 1.64389e+09, -1.80042e+09, 2.27978e-14 
6.12500e-01, 1.64173e+09, -1.79950e+09, 2.28814e-14 
6.15000e-01, 1.63957e+09, -1.79858e+09, 2.29649e-14 
6.17500e-01, 1.63740e+09, -1.79766e+09, 2.30482e-14 
6.20000e-01, 1.63522e+09, -1.79673e+09, 2.31315e-14 
6.22500e-01, 1.63303e+09, -1.79580e+09, 2.32146e-14 
6.25000e-01, 1.63083e+09, -1.79487e+09, 2.32976e-14 
6.27500e-01, 1.62863e+09, -1.79393e+09, 2.33804e-14 
6.30000e-01, 1.62642e+09, -1.79299e+09, 2.34632e-14 
6.32500e-01, 1.62420e+09, -1.79205e+09, 2.35458e-14 
6.35000e-01, 1.62197e+09, -1.79110e+09, 2.36283e-14 
6.37500e-01, 1.61974e+09, -1.79015e+09, 2.37107e-14 
6.40000e-01, 1.61749e+09, -1.78920e+09, 2.37930e-14 
6.42500e-01, 1.61524e+09, -1.78824e+09, 2.38751e-14 
6.45000e-01, 1.61299e+09, -1.78728e+09, 2.39571e-14 
6.47500e-01, 1.61072e+09, -1.78631e+09, 2.40390e-14 
6.50000e-01, 1.60845e+09, -1.78535e+09, 2.41208e-14 
6.52500e-01, 1.60617e+09, -1.78438e+09, 2.42024e-14 
6.55000e-01, 1.60388e+09, -1.78340e+09, 2.42840e-14 
6.57500e-01, 1.60158e+09, -1.78242e+09, 2.43653e-14 
6.60000e-01, 1.59928e+09, -1.78144e+09, 2.44466e-14 
6.62500e-01, 1.59697e+09, -1.78046e+09, 2.45278e-14 
6.65000e-01, 1.59465e+09, -1.77947e+09, 2.46088e-14 
6.67500e-01, 1.59233e+09, -1.77848e+09, 2.46897e-14 
6.70000e-01, 1.58999e+09, -1.77748e+09, 2.47704e-14 
6.72500e-01, 1.58765e+09, -1.77649e+09, 2.48511e-14 
6.75000e-01, 1.58531e+09, -1.77548e+09, 2.49316e-14 
