r(m), E_r(T), E_theta(T), E_z(T) 
7.15000e-01, 5.81099e+08, -5.84059e+08, 7.47500e-16 
7.17500e-01, 5.81040e+08, -5.84020e+08, 7.50082e-16 
7.20000e-01, 5.80980e+08, -5.83981e+08, 7.52664e-16 
7.22500e-01, 5.80921e+08, -5.83942e+08, 7.55245e-16 
7.25000e-01, 5.80861e+08, -5.83903e+08, 7.57827e-16 
7.27500e-01, 5.80800e+08, -5.83864e+08, 7.60408e-16 
7.30000e-01, 5.80740e+08, -5.83825e+08, 7.62988e-16 
7.32500e-01, 5.80680e+08, -5.83785e+08, 7.65568e-16 
7.35000e-01, 5.80619e+08, -5.83745e+08, 7.68148e-16 
7.37500e-01, 5.80558e+08, -5.83706e+08, 7.70728e-16 
7.40000e-01, 5.80497e+08, -5.83666e+08, 7.73307e-16 
7.42500e-01, 5.80435e+08, -5.83626e+08, 7.75886e-16 
7.45000e-01, 5.80374e+08, -5.83585e+08, 7.78464e-16 
7.47500e-01, 5.80312e+08, -5.83545e+08, 7.81043e-16 
7.50000e-01, 5.80250e+08, -5.83505e+08, 7.83620e-16 
7.52500e-01, 5.80187e+08, -5.83464e+08, 7.86198e-16 
7.55000e-01, 5.80125e+08, -5.83423e+08, 7.88775e-16 
7.57500e-01, 5.80062e+08, -5.83383e+08, 7.91352e-16 
7.60000e-01, 5.80000e+08, -5.83342e+08, 7.93928e-16 
7.62500e-01, 5.79937e+08, -5.83301e+08, 7.96504e-16 
7.65000e-01, 5.79873e+08, -5.83259e+08, 7.99080e-16 
7.67500e-01, 5.79810e+08, -5.83218e+08, 8.01656e-16 
7.70000e-01, 5.79746e+08, -5.83176e+08, 8.04231e-16 
7.72500e-01, 5.79682e+08, -5.83135e+08, 8.06805e-16 
7.75000e-01, 5.79618e+08, -5.83093e+08, 8.09380e-16 
7.77500e-01, 5.79554e+08, -5.83051e+08, 8.11954e-16 
7.80000e-01, 5.79490e+08, -5.83009e+08, 8.14527e-16 
7.82500e-01, 5.79425e+08, -5.82967e+08, 8.17101e-16 
7.85000e-01, 5.79360e+08, -5.82925e+08, 8.19674e-16 
7.87500e-01, 5.79295e+08, -5.82882e+08, 8.22246e-16 
7.90000e-01, 5.79230e+08, -5.82840e+08, 8.24818e-16 
7.92500e-01, 5.79164e+08, -5.82797e+08, 8.27390e-16 
7.95000e-01, 5.79099e+08, -5.82754e+08, 8.29962e-16 
7.97500e-01, 5.79033e+08, -5.82711e+08, 8.32533e-16 
8.00000e-01, 5.78967e+08, -5.82668e+08, 8.35104e-16 
8.02500e-01, 5.78900e+08, -5.82625e+08, 8.37674e-16 
8.05000e-01, 5.78834e+08, -5.82581e+08, 8.40244e-16 
8.07500e-01, 5.78767e+08, -5.82538e+08, 8.42814e-16 
8.10000e-01, 5.78700e+08, -5.82494e+08, 8.45383e-16 
8.12500e-01, 5.78633e+08, -5.82450e+08, 8.47952e-16 
8.15000e-01, 5.78566e+08, -5.82406e+08, 8.50521e-16 
8.17500e-01, 5.78498e+08, -5.82362e+08, 8.53089e-16 
8.20000e-01, 5.78431e+08, -5.82318e+08, 8.55657e-16 
8.22500e-01, 5.78363e+08, -5.82274e+08, 8.58224e-16 
8.25000e-01, 5.78295e+08, -5.82229e+08, 8.60791e-16 
8.27500e-01, 5.78226e+08, -5.82185e+08, 8.63358e-16 
8.30000e-01, 5.78158e+08, -5.82140e+08, 8.65924e-16 
8.32500e-01, 5.78089e+08, -5.82095e+08, 8.68490e-16 
8.35000e-01, 5.78020e+08, -5.82050e+08, 8.71055e-16 
8.37500e-01, 5.77951e+08, -5.82005e+08, 8.73621e-16 
8.40000e-01, 5.77882e+08, -5.81960e+08, 8.76185e-16 
8.42500e-01, 5.77812e+08, -5.81915e+08, 8.78750e-16 
8.45000e-01, 5.77742e+08, -5.81869e+08, 8.81314e-16 
8.47500e-01, 5.77672e+08, -5.81824e+08, 8.83877e-16 
8.50000e-01, 5.77602e+08, -5.81778e+08, 8.86441e-16 
8.52500e-01, 5.77532e+08, -5.81732e+08, 8.89004e-16 
8.55000e-01, 5.77461e+08, -5.81686e+08, 8.91566e-16 
8.57500e-01, 5.77390e+08, -5.81640e+08, 8.94128e-16 
8.60000e-01, 5.77319e+08, -5.81593e+08, 8.96690e-16 
8.62500e-01, 5.77248e+08, -5.81547e+08, 8.99251e-16 
8.65000e-01, 5.77177e+08, -5.81500e+08, 9.01812e-16 
8.67500e-01, 5.77105e+08, -5.81454e+08, 9.04372e-16 
8.70000e-01, 5.77034e+08, -5.81407e+08, 9.06933e-16 
8.72500e-01, 5.76962e+08, -5.81360e+08, 9.09492e-16 
8.75000e-01, 5.76889e+08, -5.81313e+08, 9.12052e-16 
8.77500e-01, 5.76817e+08, -5.81266e+08, 9.14611e-16 
8.80000e-01, 5.76744e+08, -5.81218e+08, 9.17169e-16 
8.82500e-01, 5.76672e+08, -5.81171e+08, 9.19727e-16 
8.85000e-01, 5.76599e+08, -5.81123e+08, 9.22285e-16 
8.87500e-01, 5.76525e+08, -5.81075e+08, 9.24842e-16 
8.90000e-01, 5.76452e+08, -5.81028e+08, 9.27399e-16 
8.92500e-01, 5.76378e+08, -5.80979e+08, 9.29956e-16 
8.95000e-01, 5.76305e+08, -5.80931e+08, 9.32512e-16 
8.97500e-01, 5.76231e+08, -5.80883e+08, 9.35067e-16 
9.00000e-01, 5.76156e+08, -5.80835e+08, 9.37623e-16 
9.02500e-01, 5.76082e+08, -5.80786e+08, 9.40178e-16 
9.05000e-01, 5.76007e+08, -5.80737e+08, 9.42732e-16 
9.07500e-01, 5.75933e+08, -5.80689e+08, 9.45286e-16 
9.10000e-01, 5.75858e+08, -5.80640e+08, 9.47840e-16 
9.12500e-01, 5.75782e+08, -5.80591e+08, 9.50393e-16 
9.15000e-01, 5.75707e+08, -5.80541e+08, 9.52946e-16 
9.17500e-01, 5.75631e+08, -5.80492e+08, 9.55498e-16 
9.20000e-01, 5.75556e+08, -5.80443e+08, 9.58050e-16 
9.22500e-01, 5.75479e+08, -5.80393e+08, 9.60602e-16 
9.25000e-01, 5.75403e+08, -5.80343e+08, 9.63153e-16 
9.27500e-01, 5.75327e+08, -5.80293e+08, 9.65703e-16 
9.30000e-01, 5.75250e+08, -5.80243e+08, 9.68254e-16 
9.32500e-01, 5.75173e+08, -5.80193e+08, 9.70803e-16 
9.35000e-01, 5.75096e+08, -5.80143e+08, 9.73353e-16 
9.37500e-01, 5.75019e+08, -5.80093e+08, 9.75902e-16 
9.40000e-01, 5.74942e+08, -5.80042e+08, 9.78450e-16 
9.42500e-01, 5.74864e+08, -5.79991e+08, 9.80999e-16 
9.45000e-01, 5.74786e+08, -5.79941e+08, 9.83546e-16 
9.47500e-01, 5.74708e+08, -5.79890e+08, 9.86094e-16 
9.50000e-01, 5.74630e+08, -5.79839e+08, 9.88640e-16 
9.52500e-01, 5.74551e+08, -5.79787e+08, 9.91187e-16 
9.55000e-01, 5.74473e+08, -5.79736e+08, 9.93733e-16 
9.57500e-01, 5.74394e+08, -5.79685e+08, 9.96278e-16 
9.60000e-01, 5.74315e+08, -5.79633e+08, 9.98824e-16 
9.62500e-01, 5.74236e+08, -5.79581e+08, 1.00137e-15 
