k, beta 
4.60082e-01, 2.33000e+00 
4.60049e-01, 2.34000e+00 
4.60025e-01, 2.35000e+00 
4.60009e-01, 2.36000e+00 
4.60002e-01, 2.37000e+00 
4.60003e-01, 2.38000e+00 
4.60012e-01, 2.39000e+00 
4.60029e-01, 2.40000e+00 
4.60053e-01, 2.41000e+00 
4.60086e-01, 2.42000e+00 
4.60126e-01, 2.43000e+00 
4.60174e-01, 2.44000e+00 
4.60230e-01, 2.45000e+00 
4.60293e-01, 2.46000e+00 
4.60363e-01, 2.47000e+00 
4.60440e-01, 2.48000e+00 
4.60525e-01, 2.49000e+00 
4.60617e-01, 2.50000e+00 
4.60715e-01, 2.51000e+00 
4.60821e-01, 2.52000e+00 
4.60933e-01, 2.53000e+00 
4.61052e-01, 2.54000e+00 
4.61178e-01, 2.55000e+00 
4.61311e-01, 2.56000e+00 
4.61449e-01, 2.57000e+00 
4.61595e-01, 2.58000e+00 
4.61746e-01, 2.59000e+00 
4.61904e-01, 2.60000e+00 
4.62069e-01, 2.61000e+00 
4.62239e-01, 2.62000e+00 
4.62415e-01, 2.63000e+00 
4.62598e-01, 2.64000e+00 
4.62786e-01, 2.65000e+00 
4.62980e-01, 2.66000e+00 
4.63180e-01, 2.67000e+00 
4.63386e-01, 2.68000e+00 
4.63598e-01, 2.69000e+00 
4.63815e-01, 2.70000e+00 
4.64037e-01, 2.71000e+00 
4.64265e-01, 2.72000e+00 
4.64499e-01, 2.73000e+00 
4.64738e-01, 2.74000e+00 
4.64982e-01, 2.75000e+00 
4.65231e-01, 2.76000e+00 
4.65486e-01, 2.77000e+00 
4.65746e-01, 2.78000e+00 
4.66011e-01, 2.79000e+00 
4.66280e-01, 2.80000e+00 
4.66555e-01, 2.81000e+00 
4.66835e-01, 2.82000e+00 
4.67120e-01, 2.83000e+00 
4.67409e-01, 2.84000e+00 
4.67703e-01, 2.85000e+00 
4.68002e-01, 2.86000e+00 
4.68306e-01, 2.87000e+00 
4.68614e-01, 2.88000e+00 
4.68927e-01, 2.89000e+00 
4.69244e-01, 2.90000e+00 
4.69566e-01, 2.91000e+00 
4.69892e-01, 2.92000e+00 
4.70223e-01, 2.93000e+00 
4.70558e-01, 2.94000e+00 
4.70897e-01, 2.95000e+00 
4.71241e-01, 2.96000e+00 
4.71589e-01, 2.97000e+00 
4.71940e-01, 2.98000e+00 
4.72296e-01, 2.99000e+00 
4.72657e-01, 3.00000e+00 
4.73021e-01, 3.01000e+00 
4.73389e-01, 3.02000e+00 
4.73761e-01, 3.03000e+00 
4.74137e-01, 3.04000e+00 
4.74517e-01, 3.05000e+00 
4.74901e-01, 3.06000e+00 
4.75288e-01, 3.07000e+00 
4.75680e-01, 3.08000e+00 
4.76075e-01, 3.09000e+00 
4.76474e-01, 3.10000e+00 
4.76876e-01, 3.11000e+00 
4.77282e-01, 3.12000e+00 
4.77692e-01, 3.13000e+00 
4.78105e-01, 3.14000e+00 
4.78522e-01, 3.15000e+00 
4.78942e-01, 3.16000e+00 
4.79366e-01, 3.17000e+00 
4.79793e-01, 3.18000e+00 
4.80224e-01, 3.19000e+00 
4.80658e-01, 3.20000e+00 
4.81095e-01, 3.21000e+00 
4.81536e-01, 3.22000e+00 
4.81979e-01, 3.23000e+00 
4.82426e-01, 3.24000e+00 
4.82877e-01, 3.25000e+00 
4.83330e-01, 3.26000e+00 
4.83787e-01, 3.27000e+00 
4.84247e-01, 3.28000e+00 
4.84709e-01, 3.29000e+00 
4.85175e-01, 3.30000e+00 
4.85644e-01, 3.31000e+00 
4.86116e-01, 3.32000e+00 
4.86591e-01, 3.33000e+00 
4.87069e-01, 3.34000e+00 
4.87550e-01, 3.35000e+00 
4.88034e-01, 3.36000e+00 
4.88520e-01, 3.37000e+00 
4.89010e-01, 3.38000e+00 
4.89502e-01, 3.39000e+00 
4.89997e-01, 3.40000e+00 
4.90495e-01, 3.41000e+00 
4.90996e-01, 3.42000e+00 
4.91499e-01, 3.43000e+00 
4.92005e-01, 3.44000e+00 
4.92514e-01, 3.45000e+00 
4.93025e-01, 3.46000e+00 
4.93539e-01, 3.47000e+00 
4.94056e-01, 3.48000e+00 
4.94575e-01, 3.49000e+00 
4.95097e-01, 3.50000e+00 
4.95621e-01, 3.51000e+00 
4.96148e-01, 3.52000e+00 
4.96678e-01, 3.53000e+00 
4.97210e-01, 3.54000e+00 
4.97744e-01, 3.55000e+00 
4.98281e-01, 3.56000e+00 
4.98820e-01, 3.57000e+00 
4.99362e-01, 3.58000e+00 
4.99906e-01, 3.59000e+00 
5.00452e-01, 3.60000e+00 
5.01001e-01, 3.61000e+00 
5.01552e-01, 3.62000e+00 
5.02105e-01, 3.63000e+00 
5.02660e-01, 3.64000e+00 
5.03218e-01, 3.65000e+00 
5.03778e-01, 3.66000e+00 
5.04341e-01, 3.67000e+00 
5.04905e-01, 3.68000e+00 
5.05472e-01, 3.69000e+00 
5.06041e-01, 3.70000e+00 
5.06612e-01, 3.71000e+00 
5.07185e-01, 3.72000e+00 
5.07760e-01, 3.73000e+00 
5.08338e-01, 3.74000e+00 
5.08917e-01, 3.75000e+00 
5.09499e-01, 3.76000e+00 
5.10083e-01, 3.77000e+00 
5.10668e-01, 3.78000e+00 
5.11256e-01, 3.79000e+00 
5.11846e-01, 3.80000e+00 
5.12437e-01, 3.81000e+00 
5.13031e-01, 3.82000e+00 
5.13627e-01, 3.83000e+00 
5.14224e-01, 3.84000e+00 
5.14824e-01, 3.85000e+00 
5.15425e-01, 3.86000e+00 
5.16028e-01, 3.87000e+00 
5.16634e-01, 3.88000e+00 
5.17241e-01, 3.89000e+00 
5.17850e-01, 3.90000e+00 
5.18460e-01, 3.91000e+00 
5.19073e-01, 3.92000e+00 
5.19687e-01, 3.93000e+00 
5.20304e-01, 3.94000e+00 
5.20922e-01, 3.95000e+00 
5.21541e-01, 3.96000e+00 
5.22163e-01, 3.97000e+00 
5.22786e-01, 3.98000e+00 
5.23411e-01, 3.99000e+00 
5.24038e-01, 4.00000e+00 
5.24666e-01, 4.01000e+00 
5.25296e-01, 4.02000e+00 
5.25928e-01, 4.03000e+00 
5.26562e-01, 4.04000e+00 
5.27197e-01, 4.05000e+00 
5.27833e-01, 4.06000e+00 
5.28472e-01, 4.07000e+00 
5.29112e-01, 4.08000e+00 
5.29754e-01, 4.09000e+00 
