k, beta 
3.88342e-02, 2.79000e+00 
3.88567e-02, 2.80000e+00 
3.88796e-02, 2.81000e+00 
3.89029e-02, 2.82000e+00 
3.89266e-02, 2.83000e+00 
3.89508e-02, 2.84000e+00 
3.89753e-02, 2.85000e+00 
3.90002e-02, 2.86000e+00 
3.90255e-02, 2.87000e+00 
3.90512e-02, 2.88000e+00 
3.90773e-02, 2.89000e+00 
3.91037e-02, 2.90000e+00 
3.91305e-02, 2.91000e+00 
3.91577e-02, 2.92000e+00 
3.91853e-02, 2.93000e+00 
3.92132e-02, 2.94000e+00 
3.92414e-02, 2.95000e+00 
3.92701e-02, 2.96000e+00 
3.92990e-02, 2.97000e+00 
3.93284e-02, 2.98000e+00 
3.93580e-02, 2.99000e+00 
3.93880e-02, 3.00000e+00 
3.94184e-02, 3.01000e+00 
3.94491e-02, 3.02000e+00 
3.94801e-02, 3.03000e+00 
3.95114e-02, 3.04000e+00 
3.95431e-02, 3.05000e+00 
3.95751e-02, 3.06000e+00 
3.96074e-02, 3.07000e+00 
3.96400e-02, 3.08000e+00 
3.96729e-02, 3.09000e+00 
3.97061e-02, 3.10000e+00 
3.97397e-02, 3.11000e+00 
3.97735e-02, 3.12000e+00 
3.98077e-02, 3.13000e+00 
3.98421e-02, 3.14000e+00 
3.98768e-02, 3.15000e+00 
3.99119e-02, 3.16000e+00 
3.99472e-02, 3.17000e+00 
3.99828e-02, 3.18000e+00 
4.00187e-02, 3.19000e+00 
4.00548e-02, 3.20000e+00 
4.00913e-02, 3.21000e+00 
4.01280e-02, 3.22000e+00 
4.01650e-02, 3.23000e+00 
4.02022e-02, 3.24000e+00 
4.02397e-02, 3.25000e+00 
4.02775e-02, 3.26000e+00 
4.03156e-02, 3.27000e+00 
4.03539e-02, 3.28000e+00 
4.03925e-02, 3.29000e+00 
4.04313e-02, 3.30000e+00 
4.04704e-02, 3.31000e+00 
4.05097e-02, 3.32000e+00 
4.05493e-02, 3.33000e+00 
4.05891e-02, 3.34000e+00 
4.06292e-02, 3.35000e+00 
4.06695e-02, 3.36000e+00 
4.07100e-02, 3.37000e+00 
4.07508e-02, 3.38000e+00 
4.07918e-02, 3.39000e+00 
4.08331e-02, 3.40000e+00 
4.08746e-02, 3.41000e+00 
4.09163e-02, 3.42000e+00 
4.09583e-02, 3.43000e+00 
4.10004e-02, 3.44000e+00 
4.10428e-02, 3.45000e+00 
4.10854e-02, 3.46000e+00 
4.11283e-02, 3.47000e+00 
4.11713e-02, 3.48000e+00 
4.12146e-02, 3.49000e+00 
4.12581e-02, 3.50000e+00 
4.13018e-02, 3.51000e+00 
4.13457e-02, 3.52000e+00 
4.13898e-02, 3.53000e+00 
4.14341e-02, 3.54000e+00 
4.14787e-02, 3.55000e+00 
4.15234e-02, 3.56000e+00 
4.15683e-02, 3.57000e+00 
4.16135e-02, 3.58000e+00 
4.16588e-02, 3.59000e+00 
4.17043e-02, 3.60000e+00 
4.17500e-02, 3.61000e+00 
4.17960e-02, 3.62000e+00 
4.18421e-02, 3.63000e+00 
4.18884e-02, 3.64000e+00 
4.19349e-02, 3.65000e+00 
4.19815e-02, 3.66000e+00 
4.20284e-02, 3.67000e+00 
4.20754e-02, 3.68000e+00 
4.21227e-02, 3.69000e+00 
4.21701e-02, 3.70000e+00 
4.22177e-02, 3.71000e+00 
4.22654e-02, 3.72000e+00 
4.23134e-02, 3.73000e+00 
4.23615e-02, 3.74000e+00 
4.24098e-02, 3.75000e+00 
4.24583e-02, 3.76000e+00 
4.25069e-02, 3.77000e+00 
4.25557e-02, 3.78000e+00 
4.26047e-02, 3.79000e+00 
4.26538e-02, 3.80000e+00 
4.27031e-02, 3.81000e+00 
4.27526e-02, 3.82000e+00 
4.28022e-02, 3.83000e+00 
4.28520e-02, 3.84000e+00 
4.29020e-02, 3.85000e+00 
4.29521e-02, 3.86000e+00 
4.30024e-02, 3.87000e+00 
4.30528e-02, 3.88000e+00 
4.31034e-02, 3.89000e+00 
4.31541e-02, 3.90000e+00 
4.32050e-02, 3.91000e+00 
4.32561e-02, 3.92000e+00 
4.33073e-02, 3.93000e+00 
4.33586e-02, 3.94000e+00 
4.34101e-02, 3.95000e+00 
4.34618e-02, 3.96000e+00 
4.35136e-02, 3.97000e+00 
4.35655e-02, 3.98000e+00 
4.36176e-02, 3.99000e+00 
4.36698e-02, 4.00000e+00 
4.37222e-02, 4.01000e+00 
4.37747e-02, 4.02000e+00 
4.38273e-02, 4.03000e+00 
4.38801e-02, 4.04000e+00 
4.39331e-02, 4.05000e+00 
4.39861e-02, 4.06000e+00 
4.40393e-02, 4.07000e+00 
4.40927e-02, 4.08000e+00 
4.41461e-02, 4.09000e+00 
4.41997e-02, 4.10000e+00 
